ordinal,date,browser,browserVersion,browserSize,operatingSystem,operatingSystemVersion,isMobile,mobileDeviceBranding,mobileDeviceModel,mobileInputSelector,mobileDeviceInfo,mobileDeviceMarketingName,flashVersion,language,screenColors,screenResolution,deviceCategory,fullVisitorId,continent,subContinent,country,region,metro,city,cityId,networkDomain,latitude,longitude,networkLocation
793,20171105,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,6750470318362669714,Europe,Northern Europe,Sweden,not available in demo dataset,not available in demo dataset,not available in demo dataset,,comhem.se,,,not available in demo dataset
794,20171129,Opera Mini,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,4550610571103552284,Africa,Eastern Africa,Tanzania,not available in demo dataset,not available in demo dataset,not available in demo dataset,,unknown.unknown,,,not available in demo dataset
795,20171106,Chrome,not available in demo dataset,not available in demo dataset,Linux,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,6430381898316846063,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View,,(not set),,,not available in demo dataset
796,20171212,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,8492173684350893184,Americas,Northern America,United States,New York,New York NY,New York,,(not set),,,not available in demo dataset
797,20171216,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,5905464151125273809,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,embarqhsd.net,,,not available in demo dataset
798,20180417,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,6041677331244178444,Europe,Northern Europe,United Kingdom,not available in demo dataset,not available in demo dataset,not available in demo dataset,,virginm.net,,,not available in demo dataset
799,20180130,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,3146277028455764929,Americas,Northern America,Canada,Quebec,(not set),Montreal,,bell.ca,,,not available in demo dataset
800,20180309,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,9060973684345404720,Asia,Western Asia,Turkey,not available in demo dataset,not available in demo dataset,not available in demo dataset,,unknown.unknown,,,not available in demo dataset
801,20171005,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,3267426615373483057,Americas,Central America,Mexico,not available in demo dataset,not available in demo dataset,not available in demo dataset,,prod-infinitum.com.mx,,,not available in demo dataset
802,20170814,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,9442386357529122663,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,sbcglobal.net,,,not available in demo dataset
803,20171202,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,8504208383153127772,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View,,comcastbusiness.net,,,not available in demo dataset
804,20170928,Samsung Internet,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,9667358715351829886,Americas,Northern America,United States,Texas,San Antonio TX,San Antonio,,(not set),,,not available in demo dataset
805,20180410,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,694818674485593204,Asia,Eastern Asia,China,Beijing,(not set),Beijing,,baidu.com,,,not available in demo dataset
806,20180130,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,tablet,1525845580570577280,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Oakland,,(not set),,,not available in demo dataset
807,20180406,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,9175071070524242946,Asia,Southern Asia,India,not available in demo dataset,not available in demo dataset,not available in demo dataset,,(not set),,,not available in demo dataset
808,20171213,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,801505526325753586,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,ptd.net,,,not available in demo dataset
809,20180426,Chrome,not available in demo dataset,not available in demo dataset,Linux,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,8562508204895481809,Americas,Northern America,United States,(not set),(not set),(not set),,google.com,,,not available in demo dataset
810,20180417,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,8512994740640361555,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,wideopenwest.com,,,not available in demo dataset
811,20171108,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,3976125245693831519,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,covhlth.com,,,not available in demo dataset
812,20171123,Chrome,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,5800692608892375483,Americas,Central America,Mexico,not available in demo dataset,not available in demo dataset,not available in demo dataset,,uninet-ide.com.mx,,,not available in demo dataset
813,20180413,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,1186029232341782365,Europe,Eastern Europe,Czechia,not available in demo dataset,not available in demo dataset,not available in demo dataset,,upcbroadband.cz,,,not available in demo dataset
814,20171229,Firefox,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,4918202376039501174,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Francisco,,(not set),,,not available in demo dataset
815,20180201,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,9525189453862317689,Americas,Northern America,United States,California,Los Angeles CA,Los Angeles,,(not set),,,not available in demo dataset
816,20170929,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,7628700714606693784,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Jose,,(not set),,,not available in demo dataset
817,20180417,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,8446303575539450954,Americas,Northern America,United States,New York,New York NY,New York,,(not set),,,not available in demo dataset
818,20171104,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,4368902562605037439,Asia,Southeast Asia,Indonesia,not available in demo dataset,not available in demo dataset,not available in demo dataset,,telkom.net.id,,,not available in demo dataset
819,20171212,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,9923791677613741474,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,comporium.net,,,not available in demo dataset
820,20180421,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,4771390213803175263,Europe,Northern Europe,United Kingdom,England,London,London,,virginm.net,,,not available in demo dataset
821,20180412,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,4102555513930029892,Europe,Southern Europe,Spain,Catalonia,(not set),Barcelona,,nuovaomsa.es,,,not available in demo dataset
822,20180319,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,9017131963402614718,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,comcastbusiness.net,,,not available in demo dataset
823,20171201,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,1725717568609273443,Asia,Southern Asia,India,Bihar,(not set),Patna,,(not set),,,not available in demo dataset
824,20180314,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,6939911106164492786,Europe,Western Europe,France,Auvergne-Rhone-Alpes,(not set),Lyon,,numericable.fr,,,not available in demo dataset
825,20180214,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,5057658930278044927,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,cox.net,,,not available in demo dataset
826,20180103,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,7324127834719457130,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,rr.com,,,not available in demo dataset
827,20180205,Internet Explorer,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,467913095938284931,Asia,Eastern Asia,South Korea,Seoul,(not set),Seoul,,(not set),,,not available in demo dataset
828,20171221,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,0430280056714632316,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Milpitas,,(not set),,,not available in demo dataset
829,20170802,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,0222369873430302520,Asia,Western Asia,Israel,not available in demo dataset,not available in demo dataset,not available in demo dataset,,ccc.net.il,,,not available in demo dataset
830,20171213,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,5961089697359430485,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Francisco,,(not set),,,not available in demo dataset
831,20171007,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,9157744622859352771,Americas,Central America,Mexico,not available in demo dataset,not available in demo dataset,not available in demo dataset,,cableonline.com.mx,,,not available in demo dataset
832,20180115,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,2180421903721405075,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,rr.com,,,not available in demo dataset
833,20180227,Firefox,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,4721928713320810611,Americas,Northern America,United States,Illinois,Chicago IL,Chicago,,unknown.unknown,,,not available in demo dataset
834,20171101,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,459211390544595397,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,(not set),,,not available in demo dataset
835,20180303,Android Webview,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,881652441092060695,Asia,Western Asia,Turkey,Istanbul,(not set),Istanbul,,unknown.unknown,,,not available in demo dataset
836,20170812,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,7261460359856470727,Americas,South America,Brazil,State of Sao Paulo,(not set),Sao Paulo,,virtua.com.br,,,not available in demo dataset
837,20180418,Firefox,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,5095197072937105141,Europe,Eastern Europe,Poland,not available in demo dataset,not available in demo dataset,not available in demo dataset,,tpnet.pl,,,not available in demo dataset
838,20170809,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,871730143155879894,Americas,South America,Argentina,not available in demo dataset,not available in demo dataset,not available in demo dataset,,speedy.com.ar,,,not available in demo dataset
839,20171214,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,1089637269886409936,Asia,Southeast Asia,Vietnam,Hanoi,(not set),Hanoi,,vnpt.vn,,,not available in demo dataset
840,20171010,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,3656790022026614170,Asia,Western Asia,Saudi Arabia,not available in demo dataset,not available in demo dataset,not available in demo dataset,,(not set),,,not available in demo dataset
841,20170908,Internet Explorer,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,5259634143406593389,Asia,Eastern Asia,Japan,not available in demo dataset,not available in demo dataset,not available in demo dataset,,ocn.ne.jp,,,not available in demo dataset
842,20170907,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,3922190928190997644,Asia,Eastern Asia,Taiwan,not available in demo dataset,not available in demo dataset,not available in demo dataset,,hinet.net,,,not available in demo dataset
843,20180225,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,9745020180281982287,Asia,Southern Asia,India,Telangana,(not set),Hyderabad,,unknown.unknown,,,not available in demo dataset
844,20171005,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,3661856725220185502,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View,,(not set),,,not available in demo dataset
845,20180419,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,2014365676759556988,Asia,Eastern Asia,Japan,not available in demo dataset,not available in demo dataset,not available in demo dataset,,bbtec.net,,,not available in demo dataset
846,20180416,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,5552692454489804838,Americas,Northern America,United States,New York,New York NY,New York,,(not set),,,not available in demo dataset
847,20180228,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,2348666967299220002,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Palo Alto,,(not set),,,not available in demo dataset
848,20171016,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,394909116244131543,Americas,Northern America,United States,Tennessee,Nashville TN,Nashville,,(not set),,,not available in demo dataset
849,20180116,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,9795513356805417011,Americas,Northern America,Canada,not available in demo dataset,not available in demo dataset,not available in demo dataset,,bellaliant.net,,,not available in demo dataset
850,20180408,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,7707847138129449300,Asia,Eastern Asia,South Korea,not available in demo dataset,not available in demo dataset,not available in demo dataset,,kaist.ac.kr,,,not available in demo dataset
851,20180208,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,1970206786124843167,Europe,Eastern Europe,Romania,not available in demo dataset,not available in demo dataset,not available in demo dataset,,unknown.unknown,,,not available in demo dataset
852,20171101,Android Browser,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,964146522348511177,Asia,Western Asia,Iraq,not available in demo dataset,not available in demo dataset,not available in demo dataset,,unknown.unknown,,,not available in demo dataset
853,20180430,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,6950739791183563284,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Francisco,,comcastbusiness.net,,,not available in demo dataset
854,20180417,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,7946629148633747159,Americas,South America,Brazil,not available in demo dataset,not available in demo dataset,not available in demo dataset,,virtua.com.br,,,not available in demo dataset
855,20171117,Safari (in-app),not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,1654116512473918573,Europe,Western Europe,France,not available in demo dataset,not available in demo dataset,not available in demo dataset,,(not set),,,not available in demo dataset
856,20171012,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,190107022555417264,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,blomand.net,,,not available in demo dataset
857,20170901,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,6542165323279466924,Americas,Northern America,United States,(not set),(not set),(not set),,(not set),,,not available in demo dataset
858,20171227,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,3563061889737697350,Asia,Southern Asia,India,Telangana,(not set),Hyderabad,,(not set),,,not available in demo dataset
859,20171212,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,1067074064593007444,Americas,Northern America,United States,Colorado,Denver CO,Denver,,(not set),,,not available in demo dataset
860,20180311,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,tablet,7192055404728924372,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,rr.com,,,not available in demo dataset
861,20180109,Chrome,not available in demo dataset,not available in demo dataset,Linux,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,291154620639089967,Asia,Southeast Asia,Philippines,(not set),(not set),(not set),,vultr.com,,,not available in demo dataset
862,20180214,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,true,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,2868542837275589372,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,,peaksknob.com,,,not available in demo dataset
863,20170819,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,false,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,6032424425348357263,Europe,Western Europe,Netherlands,not available in demo dataset,not available in demo dataset,not available in demo dataset,,xs4all.nl,,,not available in demo dataset
